date,P1ex,P1in,P2ex,P2in,v1[m^3/day],v2[m^3/day]
2018-05-23 0:00,4413913.044,140102608.7,0,58980000,22.55439735,16.10027984
2018-06-02 0:00,2504347.826,52560000,0,14205000,8.614044803,3.877661498
2018-06-12 0:00,8013913.043,54766956.52,870000,28050000,9.948279293,7.860177481
2018-06-22 0:00,5119304.348,71610782.61,5970000,21345000,12.04349402,7.220599018
2018-07-02 0:00,4115478.261,61761391.3,1725000,24045000,10.33309017,6.966522663
2018-07-12 0:00,5806956.522,114615652.2,0,30000,18.84656033,0.45
2018-07-22 0:00,1330434.783,188670260.9,0,10530000,29.54282553,2.874465018
2018-08-01 0:00,2692173.913,143912347.8,0,56175000,22.83627753,15.33457478
2018-08-11 0:00,3975652.174,84834782.61,15000,28665000,13.89158276,7.828434737
2018-08-21 0:00,7606956.521,57787826.09,1185000,27855000,10.34423423,7.880492557
2018-08-31 0:00,8108869.565,69809739.13,315000,21390000,12.30174383,5.912558893
2018-09-10 0:00,9265043.478,66185739.13,2265000,28395000,11.94693693,8.280058421
2018-09-20 0:00,12380869.57,22654956.52,4470000,10320000,5.74663359,3.860790964
2018-09-30 0:00,17843478.26,13006956.52,8940000,2610000,5.231159976,2.799777154
2018-10-10 0:00,17060869.57,50634782.61,3285000,11790000,10.93451113,3.985396854
2018-10-20 0:00,26884173.91,547826.087,19770000,405000.0001,4.922959981,4.726437634
2018-10-30 0:00,48121043.48,532173.9131,36630000,465000,8.742156578,8.679273539
2018-11-09 0:00,45843130.43,547826.087,42915000,450000,8.334671468,10.14259484
2018-11-19 0:00,85619478.26,453913.0435,75655000,405000,15.47793827,17.77441567
2018-11-29 0:00,74801739.13,453913.0435,69887000,390000,13.53125915,16.42361369
2018-12-09 0:00,105396521.7,500869.5652,88818000,450000,19.04415962,20.85998475
2018-12-19 0:00,95092173.91,485217.3913,85815000,420000,17.18743552,20.15065774
2018-12-29 0:00,102201317.5,1048610.34,89727774.25,392902.9897,18.55424726,21.05681174
2019-01-08 0:00,101818012,2071931.453,86294569.86,421720.5614,18.6442081,20.26309694
2019-01-18 0:00,124752496.6,2326414.728,110126655.9,700376.4491,22.81085095,25.90345742
2019-01-28 0:00,157340869.6,1221913.043,189891000,345000.0001,28.50366371,44.42975242
2019-02-07 0:00,103097739.1,3285913.044,81364000,511000.0001,19.0630483,19.13628344
